danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track.name,track.popularity
0.203,0.742,5,-2.261,0,0.0371,7.62e-4,0.865,0.336,0.163,139.774,229714,4,Drowning,46
0.76,0.669,5,-9.105,0,0.285,0.0757,0.0215,0.77,0.215,112.023,196071,4,Kyle (i found you),63
0.653,0.668,0,-8.183,1,0.0881,0.00116,0.00269,0.0731,0.711,160.048,257187,4,Swim Good,64
0.817,0.936,9,-7.669,1,0.0618,0.131,0.285,0.227,0.415,127,213562,4,Sidewindah (feat. Flirta D),55
0.783,0.322,0,-15.091,1,0.0343,0.213,0.00243,0.114,0.77,128.226,267773,4,Right Down the Line,70
0.433,0.722,9,-4.006,0,0.0374,4.68e-4,0.00454,0.111,0.0521,129.976,174923,3,Ghosts,33
0.597,0.483,0,-11.673,0,0.632,0.362,1.38e-4,0.17,0.285,124.452,154932,5,Perc & Sex,68
0.672,0.656,8,-8.313,1,0.0426,5.77e-4,0.538,0.0756,0.338,119.003,346125,4,Papi (Bhabi),46
0.745,0.346,1,-7.709,1,0.331,0.00552,0,0.0881,0.112,203.911,237240,4,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",63
0.904,0.813,4,-7.105,0,0.121,0.0311,0.00697,0.0471,0.81,125.461,226864,4,Lose Control (feat. Ciara & Fat Man Scoop),64
0.72,0.967,9,-4.434,0,0.0343,0.0289,3.45e-4,0.142,0.977,129.766,235093,4,Talking In Your Sleep,61
0.617,0.957,8,-3.15,1,0.173,0.0165,0.00128,0.208,0.109,125.039,168960,4,Wall Of Death,42
0.659,0.678,0,-8.18,1,0.0313,0.157,6.69e-6,0.0784,0.647,106.186,258411,4,You're so Vain,73
0.509,0.448,1,-8.403,1,0.0718,0.458,1.07e-6,0.0824,0.318,158.998,223867,4,Sheep,54
0.603,0.44,7,-13.284,1,0.0328,0.392,1.44e-4,0.578,0.671,128.021,248160,4,Ripple - 2020 Remaster,38
0.923,0.741,2,-9.106,1,0.304,0.431,0,0.215,0.897,102.104,130107,4,Manifesto,32
0.801,0.96,8,-5.534,1,0.264,0.0284,0.877,0.0985,0.101,126.045,217411,4,Gimme That Bounce,63
0.813,0.793,11,-6.528,1,0.0879,0.0359,0.651,0.116,0.844,125,263040,4,Dance with Me,36
0.811,0.825,2,-5.48,1,0.0654,6.46e-4,0.517,0.0689,0.95,124.005,211209,4,"Red Light Green Light - For Club Play Only, Pt. 6",59
0.898,0.893,1,-7.255,1,0.225,0.207,9.33e-5,0.061,0.653,129.047,150635,4,Pump It Up,57
0.696,0.898,6,-5.506,1,0.0505,0.00353,0.045,0.0896,0.392,125.027,284371,4,In the Dark,1
0.644,0.661,11,-6.093,1,0.0418,1.77e-4,5.23e-6,0.108,0.272,153.992,240307,4,How To Love,63
0.261,0.604,6,-10.634,1,0.0844,0.0654,0.145,0.066,0.508,69.606,720186,4,Walk On By,38
0.785,0.545,1,-9.255,0,0.0547,0.106,0.826,0.32,0.423,119.02,397431,4,Shoreline,22
0.741,0.619,1,-11.366,0,0.0514,0.661,0.674,0.125,0.146,126.008,417100,4,Talk to Me You'll Understand,50
0.659,0.382,11,-9.929,1,0.0359,0.715,0.162,0.175,0.742,141.072,225532,4,Different State of Mind,56
0.877,0.665,5,-6.597,0,0.191,0.0586,0.012,0.0685,0.786,125.017,154860,4,People Ain't Dancing (feat. Kah-Lo),60
0.665,0.727,1,-8.073,0,0.0391,0.00984,0.394,0.172,0.397,133.922,198806,4,Jungle,68
0.761,0.781,5,-6.778,0,0.141,0.0681,0.108,0.0607,0.473,123.023,285375,4,Marea (we’ve lost dancing),70
0.683,0.887,6,-4.944,0,0.0497,0.0125,0.446,0.318,0.551,132.007,267947,4,Turn On The Lights again.. (feat. Future),70
0.665,0.727,1,-8.073,0,0.0391,0.00984,0.394,0.172,0.397,133.922,198806,4,Jungle,68
